1,0,16.46,104,22,63,0.83,0.62,0.71
0,1,16.46,101,11,66,0.9,0.6,0.72
2,0,16.46,183,23,151,0.89,0.55,0.68
0,2,16.46,166,8,168,0.95,0.5,0.66
3,0,16.46,222,25,279,0.9,0.44,0.59
0,3,16.46,199,10,302,0.95,0.4,0.56
1,0,21.95,128,22,39,0.85,0.77,0.81
0,1,21.95,128,9,39,0.93,0.77,0.84
2,0,21.95,242,24,92,0.91,0.72,0.8
0,2,21.95,239,8,95,0.97,0.72,0.83
3,0,21.95,326,26,175,0.93,0.65,0.77
0,3,21.95,307,10,194,0.97,0.61,0.75
1,0,32.92,153,22,14,0.87,0.92,0.89
0,1,32.92,152,8,15,0.95,0.91,0.93
2,0,32.92,296,24,38,0.93,0.89,0.91
0,2,32.92,299,4,35,0.99,0.9,0.94
3,0,32.92,422,28,79,0.94,0.84,0.89
0,3,32.92,434,6,67,0.99,0.87,0.93
1,0,43.89,162,22,5,0.88,0.97,0.92
0,1,43.89,161,8,6,0.95,0.96,0.95
2,0,43.89,321,24,13,0.93,0.96,0.94
0,2,43.89,318,6,16,0.98,0.95,0.96
3,0,43.89,471,29,30,0.94,0.94,0.94
0,3,43.89,470,8,31,0.98,0.94,0.96
1,0,54.86,166,22,1,0.88,0.99,0.93
0,1,54.86,165,13,2,0.93,0.99,0.96
2,0,54.86,332,24,2,0.93,0.99,0.96
0,2,54.86,329,10,5,0.97,0.99,0.98
3,0,54.86,490,29,11,0.94,0.98,0.96
0,3,54.86,491,13,10,0.97,0.98,0.97
1,0,65.83,167,22,0,0.88,1.0,0.94
0,1,65.83,164,11,3,0.94,0.98,0.96
2,0,65.83,333,24,1,0.93,1.0,0.96
0,2,65.83,328,7,6,0.98,0.98,0.98
3,0,65.83,499,29,2,0.95,1.0,0.97
0,3,65.83,490,11,11,0.98,0.98,0.98
1,0,76.8,167,22,0,0.88,1.0,0.94
0,1,76.8,164,5,3,0.97,0.98,0.97
2,0,76.8,334,24,0,0.93,1.0,0.96
0,2,76.8,328,4,6,0.99,0.98,0.98
3,0,76.8,501,29,0,0.95,1.0,0.97
0,3,76.8,492,5,9,0.99,0.98,0.98
1,0,87.77,167,22,0,0.88,1.0,0.94
0,1,87.77,166,6,1,0.97,0.99,0.98
2,0,87.77,334,24,0,0.93,1.0,0.96
0,2,87.77,332,6,2,0.98,0.99,0.98
3,0,87.77,501,29,0,0.95,1.0,0.97
0,3,87.77,498,7,3,0.99,0.99,0.99
1,0,98.74,167,22,0,0.88,1.0,0.94
0,1,98.74,166,2,1,0.99,0.99,0.99
2,0,98.74,334,24,0,0.93,1.0,0.96
0,2,98.74,331,2,3,0.99,0.99,0.99
3,0,98.74,501,29,0,0.95,1.0,0.97
0,3,98.74,496,2,5,1.0,0.99,0.99
1,0,109.71,167,22,0,0.88,1.0,0.94
0,1,109.71,167,2,0,0.99,1.0,0.99
2,0,109.71,334,24,0,0.93,1.0,0.96
0,2,109.71,333,2,1,0.99,1.0,0.99
3,0,109.71,501,29,0,0.95,1.0,0.97
0,3,109.71,499,2,2,1.0,1.0,1.0
1,0,120.68,167,22,0,0.88,1.0,0.94
0,1,120.68,167,9,0,0.95,1.0,0.97
2,0,120.68,334,24,0,0.93,1.0,0.96
0,2,120.68,334,6,0,0.98,1.0,0.99
3,0,120.68,501,29,0,0.95,1.0,0.97
0,3,120.68,500,6,1,0.99,1.0,0.99
1,0,131.65,167,22,0,0.88,1.0,0.94
0,1,131.65,167,8,0,0.95,1.0,0.97
2,0,131.65,334,24,0,0.93,1.0,0.96
0,2,131.65,334,6,0,0.98,1.0,0.99
3,0,131.65,501,29,0,0.95,1.0,0.97
0,3,131.65,501,5,0,0.99,1.0,0.99
